subject,arm,timepoint,query,tax_id,parent_tax_id
10,P,0,SRR5580233.1400317,1220717,12333
10,P,0,SRR5580237.1493943,555387,329380
10,P,0,SRR5580233.2128222,1204539,196894
10,P,0,SRR5580239.2988312,38018,12333
10,P,0,SRR5580239.79442,38018,12333
10,P,0,SRR5580233.521452,38018,12333
10,P,0,SRR5580239.973251,1392231,12333
10,P,0,SRR5580237.5890233,1084719,686598
10,P,0,SRR5580233.11485,335924,196896
10,P,0,SRR5580238.2838356,1211643,1623296
10,P,0,SRR5580236.1512469,38018,12333
10,P,0,SRR5580238.803196,38018,12333
10,P,0,SRR5580236.1462372,38018,12333
10,P,0,SRR5580236.543860,691965,1982369
10,P,0,SRR5580233.2709686,1527770,196896
10,P,0,SRR5580239.2292445,1416020,12333
10,P,0,SRR5580239.2966925,38018,12333
10,P,0,SRR5580236.2852717,1137452,12333
10,P,0,SRR5580239.364314,38018,12333
10,P,0,SRR5580239.1652581,38018,12333
10,P,0,SRR5580233.2919132,28369,186764
10,P,0,SRR5580238.1340606,1220717,12333
10,P,0,SRR5580237.10083885,38018,12333
10,P,0,SRR5580238.2632610,1141136,196896
10,P,0,SRR5580238.1921444,173707,196894
10,P,0,SRR5580233.2779645,691964,1982368
10,P,0,SRR5580237.9246688,38018,12333
10,P,0,SRR5580238.66954,699370,196896
10,P,0,SRR5580233.3015985,861448,12333
10,P,0,SRR5580239.1897446,1034132,2006134
10,P,0,SRR5580233.2603833,1147094,196896
10,P,0,SRR5580236.912939,1141136,196896
10,P,0,SRR5580237.2573283,38018,12333
10,P,0,SRR5580239.813544,1084719,686598
10,P,0,SRR5580236.767468,335924,196896
10,P,0,SRR5580239.902296,115987,1912143
10,P,0,SRR5580233.2186959,1211640,196894
10,P,0,SRR5580233.2595723,38018,12333
10,P,0,SRR5580238.1776585,38018,12333
10,P,0,SRR5580233.2601456,861448,12333
10,P,0,SRR5580238.2288910,870471,12333
10,P,0,SRR5580233.410411,38018,12333
10,P,0,SRR5580239.571,91019,196894
10,P,0,SRR5580237.1427507,75590,79205
10,P,0,SRR5580236.1631333,282785,196896
10,P,0,SRR5580233.2492669,1137745,196896
10,P,0,SRR5580238.1374729,38018,12333
10,P,0,SRR5580233.1031799,475178,196894
10,P,0,SRR5580239.595246,571950,12333
10,P,0,SRR5580237.8620729,1289600,12333
10,P,0,SRR5580239.851724,12336,196896
10,P,0,SRR5580238.1429458,571950,12333
10,P,0,SRR5580237.7533596,38018,12333
10,P,0,SRR5580236.1934041,1034128,2006133
10,P,0,SRR5580239.487661,1204535,196896
10,P,0,SRR5580236.2891548,38018,12333
10,P,0,SRR5580238.234139,38018,12333
10,P,0,SRR5580238.1694183,1204537,1623296
10,P,0,SRR5580238.2950239,38018,12333
10,P,0,SRR5580239.820728,38018,12333
10,P,0,SRR5580238.939406,1450142,1924730
10,P,0,SRR5580238.28123,861448,12333
10,P,0,SRR5580233.172935,1229753,196896
10,P,0,SRR5580233.120001,38018,12333
10,P,0,SRR5580236.118208,320841,1623298
10,P,0,SRR5580238.372775,889338,1914892
10,P,0,SRR5580238.1469051,38018,12333
10,P,0,SRR5580238.1269217,1137452,12333
10,P,0,SRR5580239.1322567,45764,196894
10,P,0,SRR5580233.911468,1034128,2006133
10,P,0,SRR5580237.5854099,1147722,12333
10,P,0,SRR5580239.2928720,38018,12333
10,P,0,SRR5580233.1335798,1229753,196896
10,P,0,SRR5580233.675071,227470,329380
10,P,0,SRR5580236.3120401,38018,12333
10,P,0,SRR5580237.10296599,1150989,352888
10,P,0,SRR5580238.2253426,571950,12333
10,P,0,SRR5580236.2370112,151599,196894
10,P,0,SRR5580236.2251908,38018,12333
10,P,0,SRR5580236.2980199,1289600,12333
10,P,0,SRR5580239.893729,335924,196896
10,P,0,SRR5580233.2210041,230158,196896
10,P,0,SRR5580238.2717217,38018,12333
10,P,0,SRR5580239.1745050,857312,857474
10,P,0,SRR5580233.217138,335924,196896
10,P,0,SRR5580236.1359103,38018,12333
10,P,0,SRR5580239.542674,861448,12333
10,P,0,SRR5580238.2058381,948870,196896
10,P,0,SRR5580238.418170,861448,12333
10,P,0,SRR5580236.1796200,169683,680115
10,P,0,SRR5580236.1949093,861448,12333
10,P,0,SRR5580236.1594132,335924,196896
10,P,0,SRR5580233.2467869,861448,12333
10,P,0,SRR5580236.2888237,1084719,686598
10,P,0,SRR5580236.2830004,1327759,196894
10,P,0,SRR5580236.1995545,38018,12333
10,P,0,SRR5580239.2571231,861448,12333
10,P,0,SRR5580238.1875684,12336,196896
10,P,0,SRR5580239.2417308,115987,1912143
10,P,0,SRR5580238.3148965,115992,1914020
10,P,0,SRR5580236.990633,38018,12333
10,P,0,SRR5580236.2612216,1204514,1914019
10,P,0,SRR5580233.1345295,1211643,1623296
10,P,0,SRR5580237.1573321,38018,12333
10,P,0,SRR5580233.2371410,1308863,196894
10,P,0,SRR5580239.1937856,861448,12333
10,P,0,SRR5580236.2504808,929832,196896
10,P,0,SRR5580236.205779,12336,196896
10,P,0,SRR5580236.1815192,1289600,12333
10,P,0,SRR5580233.1419907,1141136,196896
10,P,0,SRR5580237.178311,38018,12333
10,P,0,SRR5580233.2460306,12336,196896
10,P,0,SRR5580236.2567458,38018,12333
10,P,0,SRR5580236.1140747,1084719,686598
10,P,0,SRR5580237.3725421,536474,79205
10,P,0,SRR5580236.1649266,38018,12333
10,P,0,SRR5580233.2915460,38018,12333
10,P,0,SRR5580236.2900430,38018,12333
10,P,0,SRR5580238.532736,335924,196896
10,P,0,SRR5580233.2025937,641487,196894
10,P,0,SRR5580233.2620137,879630,329380
10,P,0,SRR5580237.5390133,38018,12333
10,P,0,SRR5580239.2488510,699370,196896
10,P,0,SRR5580238.1665589,169683,680115
10,P,0,SRR5580236.1535169,38018,12333
10,P,0,SRR5580239.2849150,238854,329380
10,P,0,SRR5580239.112391,227470,329380
10,P,0,SRR5580239.2497329,1048517,196895
10,P,0,SRR5580238.1728422,1137452,12333
10,P,0,SRR5580239.1162330,1137452,12333
10,P,0,SRR5580233.2774215,335924,196896
10,P,0,SRR5580236.2677007,1522092,196896
10,P,0,SRR5580237.10066591,38018,12333
10,P,0,SRR5580239.2566282,1524882,196894
10,P,0,SRR5580238.1971975,879630,329380
10,P,0,SRR5580238.3091174,1129146,1623287
10,P,0,SRR5580236.3573,1392231,12333
10,P,0,SRR5580238.2596435,861448,12333
10,P,0,SRR5580237.3163237,754042,196894
10,P,0,SRR5580238.533117,1070990,196894
10,P,0,SRR5580233.3006090,555387,329380
10,P,0,SRR5580238.1028504,1137452,12333
10,P,0,SRR5580233.2576672,1522092,196896
10,P,0,SRR5580238.1607377,38018,12333
10,P,0,SRR5580236.1165740,38018,12333
10,P,0,SRR5580233.1871446,1481186,196896
10,P,0,SRR5580236.973668,1327990,196895
10,P,0,SRR5580233.2854233,12336,196896
10,P,0,SRR5580239.398386,38018,12333
10,P,0,SRR5580233.245964,38018,12333
10,P,0,SRR5580236.2002627,238854,329380
10,P,0,SRR5580237.8273307,38018,12333
10,P,0,SRR5580237.1289839,335924,196896
10,P,0,SRR5580239.104254,335924,196896
10,P,0,SRR5580233.1543509,38018,12333
